DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
31-Oct-2025,EQ,"934.90","946.70","930.25","934.35","937.50","937.00","939.16","946.70","680.00","1,20,78,252","11,34,33,69,670.65","2,61,943"
30-Oct-2025,EQ,"939.45","944.90","933.05","939.75","934.50","934.35","938.89","944.90","680.00","1,30,44,473","12,24,72,65,996.75","2,48,310"
29-Oct-2025,EQ,"933.90","942.05","930.25","930.25","939.00","939.75","937.90","942.05","680.00","1,23,14,222","11,54,94,98,004.30","2,38,682"
28-Oct-2025,EQ,"927.10","935.85","917.70","922.75","930.50","930.25","927.38","935.85","680.00","2,20,66,289","20,46,37,62,333.00","3,33,815"
27-Oct-2025,EQ,"906.95","928.00","906.00","904.50","926.90","922.75","918.09","928.00","680.00","91,50,761","8,40,12,63,077.15","1,79,901"
24-Oct-2025,EQ,"910.95","914.10","900.95","911.55","904.00","904.50","905.66","918.00","680.00","53,13,227","4,81,19,92,307.85","1,73,275"
23-Oct-2025,EQ,"912.00","918.00","904.80","907.85","909.10","911.55","913.11","918.00","680.00","1,33,82,769","12,21,99,45,497.55","3,38,233"
21-Oct-2025,EQ,"908.00","910.00","906.40","907.50","907.05","907.85","907.99","913.65","680.00","17,83,576","1,61,94,77,226.40","51,138"
20-Oct-2025,EQ,"894.60","913.65","891.05","889.15","907.00","907.50","905.33","913.65","680.00","1,35,46,463","12,26,40,27,405.35","2,41,758"
17-Oct-2025,EQ,"887.50","894.75","883.00","886.95","888.00","889.15","888.75","894.75","680.00","85,11,854","7,56,49,50,031.25","2,31,474"
16-Oct-2025,EQ,"888.30","891.85","882.45","886.10","886.20","886.95","887.32","891.85","680.00","84,93,686","7,53,65,87,997.50","2,69,552"
15-Oct-2025,EQ,"878.10","887.50","877.05","876.95","886.90","886.10","884.42","888.10","680.00","82,69,225","7,31,35,05,128.55","2,46,174"
14-Oct-2025,EQ,"883.00","884.15","872.10","882.95","876.00","876.95","876.97","888.10","680.00","76,81,973","6,73,68,96,799.30","1,34,593"
13-Oct-2025,EQ,"879.00","888.10","876.00","880.65","884.00","882.95","884.03","888.10","680.00","1,19,23,143","10,54,03,93,655.95","1,98,375"
10-Oct-2025,EQ,"862.10","883.75","861.30","862.10","881.25","880.65","879.53","883.75","680.00","1,37,13,015","12,06,10,33,018.65","1,91,535"
09-Oct-2025,EQ,"861.60","865.80","858.10","858.25","861.40","862.10","861.48","880.50","680.00","70,20,501","6,04,80,14,878.90","1,21,377"
08-Oct-2025,EQ,"866.80","867.80","857.25","864.70","857.30","858.25","860.69","880.50","680.00","71,56,112","6,15,92,18,647.30","1,29,510"
07-Oct-2025,EQ,"874.15","877.00","863.00","874.05","864.15","864.70","868.32","880.50","680.00","92,42,580","8,02,55,23,526.10","1,67,126"
06-Oct-2025,EQ,"868.00","875.30","862.80","867.30","873.80","874.05","868.71","880.50","680.00","78,20,352","6,79,36,31,063.50","1,64,571"
03-Oct-2025,EQ,"865.15","873.00","863.80","864.10","867.70","867.30","867.43","880.50","680.00","80,19,442","6,95,62,90,461.70","1,54,834"
01-Oct-2025,EQ,"872.30","876.45","862.80","872.45","865.15","864.10","866.79","880.50","680.00","1,08,32,384","9,38,94,46,664.65","2,18,205"
30-Sep-2025,EQ,"869.95","877.60","867.60","870.75","873.70","872.45","873.54","880.50","680.00","1,28,31,593","11,20,88,95,455.70","2,05,386"
