DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
13-Apr-2026,EQ,"1,042.00","1,067.25","1,030.00","1,066.70","1,062.00","1,063.55","1,052.98","1,234.70","755.50","1,77,63,348","18,70,44,99,526.45","2,43,852"
10-Apr-2026,EQ,"1,049.00","1,069.45","1,046.15","1,040.95","1,066.00","1,066.70","1,060.04","1,234.70","730.00","1,78,61,336","18,93,37,89,461.05","2,50,442"
09-Apr-2026,EQ,"1,060.10","1,064.35","1,038.30","1,061.45","1,040.45","1,040.95","1,047.89","1,234.70","730.00","2,47,72,948","25,95,92,68,796.15","3,00,821"
08-Apr-2026,EQ,"1,074.00","1,077.80","1,059.45","1,030.40","1,065.00","1,061.45","1,068.54","1,234.70","730.00","2,85,33,742","30,48,95,01,233.80","3,15,463"
07-Apr-2026,EQ,"1,025.00","1,033.70","1,012.00","1,032.75","1,028.00","1,030.40","1,024.42","1,234.70","730.00","1,50,21,291","15,38,81,04,655.30","2,18,422"
06-Apr-2026,EQ,"1,020.00","1,035.70","1,005.05","1,018.40","1,033.40","1,032.75","1,020.29","1,234.70","730.00","2,35,76,634","24,05,50,71,594.35","3,32,091"
02-Apr-2026,EQ,"1,000.00","1,026.00","977.90","1,017.80","1,018.00","1,018.40","1,000.77","1,234.70","730.00","2,07,77,629","20,79,36,42,441.60","3,88,413"
01-Apr-2026,EQ,"1,008.00","1,031.00","998.45","979.40","1,018.00","1,017.80","1,014.18","1,234.70","730.00","1,74,24,479","17,67,14,92,961.35","2,50,727"
30-Mar-2026,EQ,"1,005.00","1,009.40","975.80","1,019.50","980.80","979.40","988.29","1,234.70","730.00","2,14,38,137","21,18,70,26,528.40","3,14,799"
27-Mar-2026,EQ,"1,051.30","1,055.30","1,013.00","1,060.60","1,019.20","1,019.50","1,032.18","1,234.70","730.00","2,04,45,349","21,10,31,78,751.60","4,44,041"
25-Mar-2026,EQ,"1,043.00","1,065.50","1,043.00","1,030.80","1,062.60","1,060.60","1,057.61","1,234.70","730.00","1,62,05,333","17,13,88,77,668.20","2,51,103"
24-Mar-2026,EQ,"1,055.20","1,059.00","1,020.00","1,031.90","1,038.00","1,030.80","1,035.19","1,234.70","730.00","3,04,16,734","31,48,69,65,633.00","3,10,955"
23-Mar-2026,EQ,"1,039.00","1,045.60","1,014.20","1,058.00","1,030.10","1,031.90","1,031.01","1,234.70","730.00","1,60,39,603","16,53,69,23,041.30","3,35,720"
20-Mar-2026,EQ,"1,058.40","1,085.00","1,054.00","1,048.90","1,058.30","1,058.00","1,068.90","1,234.70","722.30","1,77,48,625","18,97,14,44,649.60","4,97,694"
19-Mar-2026,EQ,"1,049.50","1,059.70","1,041.00","1,069.80","1,052.60","1,048.90","1,049.88","1,234.70","722.30","1,34,31,191","14,10,11,19,020.20","3,76,097"
18-Mar-2026,EQ,"1,067.50","1,075.40","1,061.30","1,064.70","1,069.00","1,069.80","1,067.78","1,234.70","722.30","1,07,49,915","11,47,85,33,827.70","2,40,312"
17-Mar-2026,EQ,"1,073.90","1,073.90","1,047.00","1,066.70","1,063.20","1,064.70","1,059.34","1,234.70","722.30","1,64,27,877","17,40,27,02,221.10","3,20,717"
16-Mar-2026,EQ,"1,048.70","1,073.00","1,036.10","1,047.00","1,063.90","1,066.70","1,055.71","1,234.70","722.30","1,53,22,269","16,17,59,24,213.10","2,57,314"
13-Mar-2026,EQ,"1,077.50","1,081.30","1,042.30","1,085.20","1,046.00","1,047.00","1,056.49","1,234.70","719.05","1,59,78,675","16,88,13,34,704.90","3,26,824"
12-Mar-2026,EQ,"1,075.10","1,098.00","1,070.50","1,091.10","1,085.00","1,085.20","1,080.46","1,234.70","719.05","1,46,14,140","15,79,00,03,178.60","2,90,778"
11-Mar-2026,EQ,"1,113.40","1,115.90","1,088.00","1,112.20","1,090.80","1,091.10","1,101.70","1,234.70","719.05","83,64,878","9,21,55,95,730.70","1,95,732"
10-Mar-2026,EQ,"1,111.10","1,119.90","1,104.50","1,098.50","1,114.00","1,112.20","1,111.52","1,234.70","719.05","1,74,91,459","19,44,21,47,785.60","2,51,051"
09-Mar-2026,EQ,"1,115.00","1,115.00","1,064.30","1,143.00","1,101.60","1,098.50","1,082.98","1,234.70","719.05","2,46,31,198","26,67,50,40,947.80","5,01,841"
06-Mar-2026,EQ,"1,168.50","1,169.30","1,138.00","1,169.50","1,139.80","1,143.00","1,153.49","1,234.70","680.00","2,03,33,328","23,45,43,47,093.10","2,65,693"
05-Mar-2026,EQ,"1,181.00","1,183.20","1,150.60","1,174.50","1,168.50","1,169.50","1,165.03","1,234.70","680.00","2,21,00,665","25,74,78,50,416.00","2,81,615"
04-Mar-2026,EQ,"1,172.10","1,182.70","1,157.60","1,189.90","1,173.30","1,174.50","1,167.00","1,234.70","680.00","1,38,55,065","16,16,89,08,771.70","2,78,411"
02-Mar-2026,EQ,"1,185.00","1,197.30","1,179.40","1,201.70","1,189.50","1,189.90","1,187.73","1,234.70","680.00","1,62,70,835","19,32,53,97,511.40","2,95,263"
27-Feb-2026,EQ,"1,207.00","1,211.80","1,198.60","1,209.50","1,201.80","1,201.70","1,202.73","1,234.70","680.00","1,07,00,355","12,86,96,17,331.00","1,77,264"
26-Feb-2026,EQ,"1,201.00","1,215.40","1,188.90","1,200.10","1,210.50","1,209.50","1,200.90","1,234.70","680.00","1,61,96,052","19,44,98,08,133.20","3,24,026"
25-Feb-2026,EQ,"1,228.10","1,228.10","1,197.50","1,223.30","1,199.30","1,200.10","1,205.52","1,234.70","680.00","1,95,81,100","23,60,54,63,052.30","2,57,788"
24-Feb-2026,EQ,"1,232.00","1,234.70","1,219.70","1,227.80","1,227.00","1,223.30","1,225.16","1,234.70","680.00","1,57,88,449","19,34,33,95,463.90","2,54,767"
23-Feb-2026,EQ,"1,222.00","1,231.10","1,217.10","1,216.10","1,228.90","1,227.80","1,225.65","1,231.10","680.00","97,33,835","11,93,03,12,522.80","2,01,974"
20-Feb-2026,EQ,"1,206.20","1,218.00","1,201.80","1,205.70","1,216.20","1,216.10","1,210.22","1,225.50","680.00","99,58,162","12,05,15,77,245.80","1,99,855"
19-Feb-2026,EQ,"1,222.90","1,224.90","1,199.20","1,218.90","1,203.00","1,205.70","1,211.52","1,225.50","680.00","96,30,899","11,66,80,64,853.60","1,77,689"
18-Feb-2026,EQ,"1,218.80","1,224.10","1,214.00","1,213.40","1,219.20","1,218.90","1,218.94","1,225.50","680.00","1,04,17,264","12,69,80,07,439.70","2,55,363"
17-Feb-2026,EQ,"1,206.10","1,225.50","1,204.10","1,208.10","1,213.60","1,213.40","1,217.00","1,225.50","680.00","2,01,07,196","24,47,04,27,537.50","2,67,679"
16-Feb-2026,EQ,"1,194.00","1,212.30","1,185.30","1,198.60","1,210.70","1,208.10","1,194.69","1,212.30","680.00","1,49,72,739","17,88,78,42,649.00","2,71,610"
13-Feb-2026,EQ,"1,189.00","1,201.00","1,184.50","1,192.40","1,196.30","1,198.60","1,194.68","1,203.70","680.00","1,81,41,390","21,67,31,30,087.90","2,26,098"
12-Feb-2026,EQ,"1,183.00","1,203.70","1,174.80","1,182.90","1,192.00","1,192.40","1,193.67","1,203.70","680.00","3,32,14,985","39,64,75,77,372.20","3,76,330"
11-Feb-2026,EQ,"1,144.70","1,187.50","1,142.80","1,144.10","1,181.10","1,182.90","1,173.34","1,187.50","680.00","2,94,91,859","34,60,39,03,117.40","4,01,532"
10-Feb-2026,EQ,"1,151.00","1,154.00","1,138.10","1,146.00","1,142.20","1,144.10","1,143.87","1,154.00","680.00","1,72,80,036","19,76,61,73,365.40","2,50,192"
09-Feb-2026,EQ,"1,120.00","1,150.00","1,100.50","1,066.40","1,147.80","1,146.00","1,134.48","1,150.00","680.00","4,08,52,966","46,34,66,94,652.10","6,70,729"
06-Feb-2026,EQ,"1,070.00","1,073.60","1,051.00","1,073.50","1,066.00","1,066.40","1,061.27","1,089.80","680.00","70,41,557","7,47,30,00,431.60","1,49,134"
05-Feb-2026,EQ,"1,068.20","1,081.00","1,067.50","1,068.20","1,072.90","1,073.50","1,073.99","1,089.80","680.00","95,51,567","10,25,82,74,381.40","3,07,940"
04-Feb-2026,EQ,"1,064.20","1,073.90","1,056.30","1,064.20","1,067.30","1,068.20","1,068.30","1,089.80","680.00","73,12,276","7,81,17,36,404.20","2,70,312"
03-Feb-2026,EQ,"1,087.00","1,089.80","1,040.30","1,028.70","1,062.10","1,064.20","1,060.86","1,089.80","680.00","1,61,29,381","17,11,10,94,374.70","2,43,054"
02-Feb-2026,EQ,"1,019.90","1,031.30","990.00","1,018.20","1,026.50","1,028.70","1,012.48","1,083.60","680.00","1,44,34,549","14,61,46,79,105.50","3,04,031"
01-Feb-2026,EQ,"1,076.00","1,083.60","988.30","1,077.15","1,020.00","1,018.20","1,037.87","1,083.60","680.00","1,20,51,593","12,50,79,54,389.60","2,87,388"
30-Jan-2026,EQ,"1,064.00","1,082.50","1,060.40","1,066.20","1,077.00","1,077.15","1,074.86","1,082.50","680.00","94,80,769","10,19,04,75,730.05","1,67,283"
29-Jan-2026,EQ,"1,063.00","1,075.00","1,060.30","1,063.50","1,067.25","1,066.20","1,069.34","1,075.00","680.00","1,48,00,724","15,82,69,62,918.10","2,40,283"
28-Jan-2026,EQ,"1,059.40","1,065.60","1,044.15","1,053.15","1,062.65","1,063.50","1,058.02","1,065.60","680.00","1,21,71,257","12,87,73,93,890.40","1,85,549"
27-Jan-2026,EQ,"1,034.10","1,055.00","1,030.25","1,029.50","1,053.00","1,053.15","1,044.18","1,055.50","680.00","1,44,20,630","15,05,77,19,793.40","2,25,915"
23-Jan-2026,EQ,"1,051.90","1,053.00","1,025.60","1,048.35","1,028.40","1,029.50","1,038.67","1,055.50","680.00","1,09,17,698","11,33,98,54,282.00","2,06,940"
22-Jan-2026,EQ,"1,035.00","1,055.50","1,034.05","1,028.65","1,050.20","1,048.35","1,046.47","1,055.50","680.00","1,20,01,641","12,55,93,74,596.45","2,30,274"
21-Jan-2026,EQ,"1,032.00","1,040.60","1,022.00","1,036.40","1,029.45","1,028.65","1,029.89","1,052.00","680.00","74,08,949","7,63,03,93,371.10","1,54,792"
20-Jan-2026,EQ,"1,039.75","1,052.00","1,033.05","1,038.40","1,034.25","1,036.40","1,040.41","1,052.00","680.00","89,05,718","9,26,56,15,104.20","1,94,593"
19-Jan-2026,EQ,"1,035.00","1,043.60","1,034.00","1,042.30","1,038.50","1,038.40","1,039.62","1,047.45","680.00","54,60,164","5,67,64,88,821.30","1,50,416"
16-Jan-2026,EQ,"1,032.00","1,047.45","1,028.40","1,028.35","1,040.60","1,042.30","1,039.49","1,047.45","680.00","1,10,51,580","11,48,79,65,930.15","2,47,268"
14-Jan-2026,EQ,"1,030.00","1,030.40","1,020.50","1,028.45","1,030.00","1,028.35","1,026.09","1,030.40","680.00","73,70,514","7,56,27,77,097.55","1,31,534"
13-Jan-2026,EQ,"1,022.80","1,029.50","1,016.00","1,015.15","1,028.50","1,028.45","1,025.20","1,029.50","680.00","1,10,16,895","11,29,44,65,857.40","1,65,775"
12-Jan-2026,EQ,"1,008.00","1,017.25","996.00","1,000.50","1,014.50","1,015.15","1,006.21","1,024.00","680.00","76,17,922","7,66,52,02,773.25","1,61,160"
09-Jan-2026,EQ,"996.00","1,008.00","994.00","998.00","1,000.05","1,000.50","1,001.78","1,024.00","680.00","78,09,460","7,82,33,67,726.70","1,27,785"
08-Jan-2026,EQ,"1,006.60","1,011.60","995.85","1,007.15","997.60","998.00","1,001.81","1,024.00","680.00","68,54,268","6,86,66,84,538.70","1,84,563"
07-Jan-2026,EQ,"1,022.70","1,022.70","1,004.00","1,018.90","1,006.90","1,007.15","1,009.83","1,024.00","680.00","78,96,720","7,97,43,67,341.70","1,40,422"
06-Jan-2026,EQ,"1,007.95","1,024.00","1,004.95","1,005.55","1,018.05","1,018.90","1,018.15","1,024.00","680.00","95,75,742","9,74,95,19,544.45","2,23,012"
05-Jan-2026,EQ,"1,000.00","1,015.50","1,000.00","998.95","1,005.40","1,005.55","1,007.59","1,015.50","680.00","1,12,59,060","11,34,45,53,289.35","1,83,843"
02-Jan-2026,EQ,"984.50","1,009.50","983.95","984.75","1,005.65","998.95","993.34","1,009.50","680.00","73,57,435","7,30,83,98,803.40","1,17,850"
01-Jan-2026,EQ,"983.20","987.65","980.35","982.20","984.60","984.75","984.57","999.00","680.00","43,28,348","4,26,15,71,218.05","95,120"
31-Dec-2025,EQ,"975.25","985.65","973.50","973.45","982.40","982.20","982.00","999.00","680.00","58,07,630","5,70,30,85,644.85","1,09,225"
30-Dec-2025,EQ,"963.00","976.20","959.50","965.05","973.10","973.45","971.99","999.00","680.00","1,50,30,644","14,60,96,77,358.80","2,21,265"
29-Dec-2025,EQ,"966.90","968.90","961.45","966.30","965.70","965.05","965.03","999.00","680.00","52,67,233","5,08,30,23,420.70","1,43,589"
26-Dec-2025,EQ,"968.95","971.00","964.75","968.95","966.50","966.30","967.50","999.00","680.00","32,86,321","3,17,95,13,466.20","1,01,940"
24-Dec-2025,EQ,"973.20","977.30","967.50","971.90","968.85","968.95","972.14","999.00","680.00","41,05,643","3,99,12,79,807.90","1,27,471"
23-Dec-2025,EQ,"976.30","977.55","970.70","974.30","971.25","971.90","973.41","999.00","680.00","51,23,287","4,98,70,59,431.55","1,42,849"
